Date,Price,Year,Month,Day,MeanWeek,EMA_7,EMA_30,Time
2012-12-26,132.47,2012,12,26,129.70142857142858,131.73788875447036,139.03903538900596,18.747234758306686
2012-12-27,133.57,2012,12,27,130.24428571428572,132.19591656585277,138.68619439616688,30.08655231677659
2012-12-28,132.79,2012,12,28,130.79285714285714,132.34443742438958,138.30579475770452,43.300850163640334
2012-12-31,130.6,2012,12,31,131.37285714285713,131.90832806829218,137.80864670882036,88.16253780813237
2013-01-02,135.21,2013,1,2,131.42,132.73374605121913,137.64099208244485,132.0357525922793
2013-01-03,132.49,2013,1,3,132.24857142857144,132.67280953841436,137.30867001260972,139.66503101131798
2013-01-04,131.32,2013,1,4,132.6,132.33460715381077,136.92230420534457,144.38018438391998
2013-01-05,126.43,2013,1,5,132.63571428571427,130.85845536535805,136.24538135338688,145.97513788188635
2013-01-07,116.15,2013,1,7,131.77285714285716,127.18134152401853,134.94890513703933,139.665031011318
2013-01-08,114.59,2013,1,8,129.28428571428572,124.03350614301391,133.63542738626262,132.0357525922793
2013-01-10,107.99,2013,1,10,126.68428571428572,120.02262960726043,131.9808836839231,109.4813534114148
2013-01-11,100.54,2013,1,11,123.45428571428572,115.15197220544532,129.9524395752829,95.54196812180774
2013-01-14,138.1,2013,1,14,118.50142857142858,120.88897915408398,130.47808863494208,50.433169760078634
2013-01-15,137.58,2013,1,15,119.30285714285715,125.06173436556298,130.93627646494582,36.49378447047158
2013-01-16,137.57,2013,1,16,120.19714285714288,128.18880077417225,131.3642586284977,24.1493526788309
2013-01-17,138.9,2013,1,17,121.78857142857143,130.86660058062918,131.8504354911753,13.93938528960707
2013-01-18,139.44,2013,1,18,125.03857142857143,133.00995043547186,132.34008481432528,6.310106870568354
2013-01-21,138.87,2013,1,21,128.58857142857144,134.4749628266039,132.76136966501397,1.5949534979663815
2013-01-22,134.09,2013,1,22,133.0,134.37872211995293,132.8470877511421,6.310106870568345
2013-01-23,135.61,2013,1,23,137.79285714285714,134.6865415899647,133.02534015429424,13.939385289607094
2013-01-24,132.98,2013,1,24,137.43714285714285,134.25990619247352,133.02241498304946,24.14935267883091
2013-01-25,133.67,2013,1,25,136.78,134.11242964435513,133.0641946615624,36.49378447047161
2013-01-28,133.68,2013,1,28,136.22285714285712,134.00432223326635,133.1039240382358,80.61684735998183
2013-01-29,134.71,2013,1,29,135.47714285714287,134.18074167494976,133.2075418422206,95.54196812180768
2013-01-30,134.05,2013,1,30,134.80142857142857,134.14805625621233,133.26189398143217,109.48135341141472
2013-01-31,134.41,2013,1,31,134.11285714285714,134.21354219215925,133.3359653374688,121.82578520305547
2013-02-01,134.79,2013,2,1,134.15857142857143,134.35765664411943,133.42977402537403,142.40287199076894
2013-02-04,129.4,2013,2,4,134.04142857142855,133.11824248308957,133.16978860438218,142.40287199076894
2013-02-05,129.44,2013,2,5,133.53,132.1986818623172,132.9291570815188,136.19665780426806
2013-02-07,118.77,2013,2,7,132.9257142857143,128.8415113967379,132.01566307625953,115.88858556510975
2013-02-08,116.58,2013,2,8,130.7957142857143,125.77613354755341,131.01981384553312,102.67428771824594
2013-02-09,111.65,2013,2,9,128.20571428571427,122.24460016066507,129.7701484361439,88.16253780813246
2013-02-10,108.65,2013,2,10,125.00571428571428,118.8459501204988,128.4075582144572,72.98756894094319
2013-02-12,103.62,2013,2,12,121.32571428571428,115.0394625903741,126.80836091029867,43.30085016364044
2013-02-13,130.89,2013,2,13,116.87285714285714,119.00209694278057,127.07169246447296,30.086552316776622
2013-02-14,129.66,2013,2,14,117.08571428571429,121.66657270708544,127.23868004741018,18.747234758306696
2013-02-15,129.36,2013,2,15,117.11714285714287,123.58992953031408,127.37553939919017,9.77848007761832
2013-02-18,129.29,2013,2,18,118.63,125.01494714773557,127.49905298633921,0.3998335394738453
2013-02-19,127.92,2013,2,19,120.44571428571429,125.74121036080167,127.52621085818829,3.5722658911174023
2013-02-20,130.62,2013,2,20,122.77000000000001,126.96090777060125,127.72581015766002,9.77848007761828
2013-02-21,130.71,2013,2,21,125.90857142857142,127.89818082795094,127.91833853458519,18.747234758306654
2013-02-22,132.23,2013,2,22,129.7785714285714,128.98113562096322,128.1965102420313,30.08655231677655
2013-02-25,131.77,2013,2,25,129.97,129.6783517157224,128.42705796835187,72.98756894094316
2013-02-26,132.31,2013,2,26,130.27142857142857,130.3362637867918,128.67757035749048,88.16253780813246
2013-02-27,132.55,2013,2,27,130.69285714285715,130.88969784009385,128.92740452797497,102.6742877182459
2013-02-28,132.52,2013,2,28,131.15857142857143,131.29727338007038,129.15918488100885,115.88858556510976
2013-03-01,132.89,2013,3,1,131.81571428571428,131.6954550350528,129.3998826306212,144.38018438391998
2013-03-04,131.66,2013,3,4,132.14000000000001,131.6865912762896,129.5456966544521,121.82578520305546
